web-scraper-order,web-scraper-start-url,album_link,album_link-href,download_link,download_link-href,artist,title
"1648562428-462","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/644-brain-washing/","null","null","bertycox","bertycox – Brain Washing [2009] [Album]"
"1648562585-511","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/428-a-private-sea/","Download","https://pandacd.io/index.php?p=release&action=download&id=962","Commonplaces","Commonplaces – A private sea [2011] [Album]"
"1648562423-460","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/648-synesthetism/","null","null","bertycox","bertycox – Synesthetism [2009] [Album]"
"1648562387-444","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/746-silent/","null","null","Serious Mastering","Serious Mastering – Silent [2015] [Album]"
"1648562591-514","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/417-good-hearted-woman/","Download","https://pandacd.io/index.php?p=release&action=download&id=938","Maharajah","Maharajah with Charl and H-sie – Good Hearted Woman [2012] [Album]"
"1648562497-493","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/519-splat/","null","null","bugXpunch","bugXpunch and XsaladcrusherX – Splat! [2012] [EP]"
"1648562357-430","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/68-%d0%bf%d0%be%d0%b3%d0%bb%d0%b5%d0%b4%d1%8a%d1%82-%d0%bd%d0%b0-%d1%81%d1%8a%d0%b7%d0%b5%d1%80%d1%86%d0%b0%d1%82%d0%b5%d0%bb%d1%8f-the-eye-of-the-beholder/","null","null","Velislav Ivanov","Velislav Ivanov – Погледът на съзерцателя (The Eye of the Beholder) [2010] [Album]"
"1648562385-443","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/747-synfonie/","null","null","Serious Mastering","Serious Mastering – Synfonie [2009] [Album]"
"1648562307-408","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/106-heartbox/","null","null","Suhov","Suhov – Heartbox [2011] [Album]"
"1648562320-414","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/97-bring-it-down/","null","null","someone else","someone else – bring it down [2010] [EP]"
"1648562470-480","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/544-camerons-friends-dick/","null","null","XsaladcrusherX","XsaladcrusherX – Cameron's Friend's Dick [2013] [EP]"
"1648562417-457","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/659-1111/","Download","https://pandacd.io/index.php?p=release&action=download&id=1556","Big Joe Daddy","Big Joe Daddy – 11:11 [2014] [Album]"
"1648562355-429","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/73-bit-children/","null","null","Zhe Nhir","Zhe Nhir – Bit Children [2009] [Album]"
"1648562502-495","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/517-fuck-your-shit/","null","null","XsaladcrusherX","XsaladcrusherX – Fuck Your Shit [2012] [EP]"
"1648562426-461","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/647-the-signal/","null","null","bertycox","bertycox – The Signal [2010] [Album]"
"1648562521-503","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/508-turbo-speed/","null","null","XsaladcrusherX","XsaladcrusherX – Turbo Speed! [2012] [EP]"
"1648562480-485","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/534-wheel-of-distortion/","null","null","Japanese Torture Comedy Hour","Japanese Torture Comedy Hour – Wheel Of Distortion [2011] [Album]"
"1648562504-496","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/516-land-before-grind/","null","null","XsaladcrusherX","XsaladcrusherX – Land Before Grind [2012] [EP]"
"1648562491-490","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/524-bad-times-before/","null","null","The Jonny Monster Band","The Jonny Monster Band – Bad Times Before [2013] [Album]"
"1648562487-488","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/528-converzhe/","Download","https://pandacd.io/index.php?p=release&action=download&id=1362","seedmole","seedmole – Converzhe [2012] [Album]"
"1648562523-504","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/507-milxdread/","null","null","XsaladcrusherX","XsaladcrusherX – MILxDREAD [2013] [EP]"
