title,artist,magnet
Judd Madden – Float [2011] [Album],Judd Madden,magnet:?xt=urn:btih:0eee6b7a979928cfceb1a014e7e8beafd4b9128f&dn=Judd+Madden+-+Float+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Asylum Voyage – Amnesty [2011] [EP],Asylum Voyage,magnet:?xt=urn:btih:2c52d343a16ad3ba8ab87e084f2ea09b21058d89&dn=Asylum+Voyage+-+Amnesty+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Inca Gold – Inca Gold III [2012] [EP],Inca Gold,magnet:?xt=urn:btih:4a9e0c8cbaefdd8a09349c3dd01fb862a5e07127&dn=Inca+Gold+-+Inca+Gold+III+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Neff & Kenney with Leviathan Jones – Arecibo [2010] [Album],Neff & Kenney,magnet:?xt=urn:btih:2ea0a13bee402bf6985b76931f9465a828ba1b62&dn=Neff+%26+Kenney+-+Arecibo&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Kalle Kaasinen – ILME [2011] [EP],Kalle Kaasinen,magnet:?xt=urn:btih:07197058b6304613efa3ca5b361f957a8837981d&dn=Kalle+Kaasinen+-+ILME+(2011)+320+&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Hijos de Mayo – In Sound Underground [2011] [Album],Hijos de Mayo,magnet:?xt=urn:btih:195553cb435a7fc9baada662f286a931855158bf&dn=Hijos+de+Mayo+-+album+name%0AIn+Sound+Underground+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Creepers – Songs From the Green House [2011] [EP],Creepers,magnet:?xt=urn:btih:7fa0df700ef944ba83fce2c7f0d26ec2604bddbb&dn=Creepers+-+Songs+From+the+Green+House+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Luke Seymoup – Burnett Street [2018] [EP],Luke Seymoup,magnet:?xt=urn:btih:b14b3f0bf034ae6e6cf6a1f68796070d3e62fa64&dn=Luke+Seymoup+-+Burnett+Street+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
mote. – dust particle [2012] [EP],mote.,magnet:?xt=urn:btih:e10392e1fe884054d8e158a3da588f36bd87b70d&dn=mote.+-+dust+particle+EP+MP320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Labbed – Labhits 2011 [2012] [Album],Labbed,magnet:?xt=urn:btih:d673a23f876499ddd2507dbb6b38e7423d7034aa&dn=Labbed+-+Labhits+2011+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
