title,artist,magnet
weakness – WEAKNESS [2009] [Album],weakness,magnet:?xt=urn:btih:d95294d33fe31f8e24828cc386241dc59b6c9e8d&dn=weakness+-+WEAKNESS&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
We Swim You Jump – We Swim You Jump [2008] [Album],We Swim You Jump,magnet:?xt=urn:btih:ed10e87e8e2b719af040acdb1620596b807684d0&dn=We+Swim+You+Jump+-+We+Swim+You+Jump+(2008%2C+V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [static atlas] [2009] [EP],Sadsic,magnet:?xt=urn:btih:576d9a0576bb4c6153ac9dc02620d7b47ff5cf16&dn=Sadsic+-+%5Bstatic+atlas%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
crt_head – Turbo Force Gunmetal Zero [2020] [Album],crt_head,magnet:?xt=urn:btih:291559ce98033c08b2a9d3f17d78dc16ad7a84d0&dn=crt_head+-+Turbo+Force+Gunmetal+Zero+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
cssc – After Tides [2011] [Album],cssc,magnet:?xt=urn:btih:f633435f430c3c02099a1cfdf6d2b650c7363b75&dn=cssc+-+After+Tides+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Matt Stevens – Live In Blackpool [2011] [Live album],Matt Stevens,magnet:?xt=urn:btih:ccbf18d589ba8bd002fcb42b603b26da55f0ae2e&dn=Matt+Stevens+-+Live+In+Blackpool+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ptarmigan – Our Ancient Friends [2009] [Album],Ptarmigan,magnet:?xt=urn:btih:02cdc25461e6287d7b8d07cf242cc929fb5ef6a5&dn=Ptarmigan+-+Our+Ancient+Friends+-+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Glander – Variations [2011] [Album],Glander,magnet:?xt=urn:btih:682026ba9c31fc1c68610b5f9df24a8089432a86&dn=Ogg&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ch4rl33 – The Why [2010] [EP],ch4rl33,magnet:?xt=urn:btih:dfc687e907a9b53c0752fffd0534aeb74064f129&dn=Charlee+-+The+Why+EP&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [sidewalk spark] [2009] [EP],Sadsic,magnet:?xt=urn:btih:1473b28287b8dfbd056117f09867ba44ca59e786&dn=Sadsic+-+%5Bsidewalk+spark%5D+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ruffin Poe – Hobo In A Pilot Cabin [2012] [EP],Ruffin Poe,magnet:?xt=urn:btih:b182e23f34c92eb1aae7481fce4022f4dd78aae2&dn=Ruffin+Poe++Hobo+In+A+Pilot+Cabin+EP+MP3+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – Bastion [2012] [EP],Sadsic,magnet:?xt=urn:btih:223ec509d070a9a3c59a4f92638cb4f3be3a0db4&dn=Sadsic+-+Bastion+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Swimming – EP [2011] [EP],Swimming,magnet:?xt=urn:btih:2d13d67c2bfd0c5fe3177668875db4675076072c&dn=Swimming+-+EP+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Tall Tales – All we can do is sing [2012] [EP],Tall Tales,magnet:?xt=urn:btih:e3fb1309d5a4e83a12f442ccfabf2f832f6d40a5&dn=Tall+Tales+-+All+we+can+do+is+sing+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
SNOWMINE – LAMINATE PET ANIMAL [2011] [Album],SNOWMINE,magnet:?xt=urn:btih:28285befc651c273e9c06ddced0a2ecc32f13e26&dn=SNOWMINE+-+LAMINATE+PET+ANIMAL+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Republicans Suck – Happy. [2010] [Single],Republicans Suck,magnet:?xt=urn:btih:e496300156c10df5046fe14b2ba3ff9ee0774efc&dn=Republicans+Suck+-+Happy..mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aavepyörä – Kotiin haltiakansan luo [2010] [Album],Aavepyörä,magnet:?xt=urn:btih:d65236ec7d800734434f261fcd94b0345196dd9a&dn=Aavepyora+-+Kotiin+haltiakansan+luo+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [sic] [2008] [EP],Sadsic,magnet:?xt=urn:btih:e9507cdfe6434ad11435d60e383c98119ce34f91&dn=Sadsic+-+%5Bsic%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Essue Dove and Sadsic – Somnolange! [2009] [Album],Essue Dove,magnet:?xt=urn:btih:f0e809b5d11c6fd8b25a4848b320e41c7a7d20b8&dn=Sadsic+%26+Essue+Dove+-+Somnolange!&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Andrew Judah – Albino Black Bear [2011] [Album],Andrew Judah,magnet:?xt=urn:btih:2fee6491e10ca9496aadad9c5af822d4e2778494&dn=Andrew+Judah+-+Albino+Black+Bear+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Beats Antique with Brass Menazeri – Collide [2008] [Album],Beats Antique,magnet:?xt=urn:btih:5e12207716da90f8bd1db5f29b37cdb48a1b8133&dn=Beats+Antique+-+Collide+(2008)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Spook the Horses – Brighter [2011] [Album],Spook the Horses,magnet:?xt=urn:btih:6fade89d794c79919c33ebae15159765d8875426&dn=Brighter+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"Kimiko Ishizaka – J.S. Bach: The Art of the Fugue (Kunst der Fuge), BWV 1080 [2017] [Album]",Kimiko Ishizaka,magnet:?xt=urn:btih:325871830319b62f2a3a12c892ca842dca86ed17&dn=Kimiko+Ishizaka+-+J.S.+Bach-+The+Art+of+the+Fugue+(Kunst+der+Fuge)-+BWV+1080+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Chrome Sparks with Steffaloo – Still Sleeping [2011] [Single],Chrome Sparks,magnet:?xt=urn:btih:ca42b58e2e830030dfa1cf5436084340d10d4337&dn=Chrome+Sparks+-+Still+Sleeping+%2528Feat.+Steffaloo%2529.mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Orison – Orison [2010] [Album],Orison,magnet:?xt=urn:btih:e37edc9dfc9ab94746b673bd8c5caf76b270ec07&dn=Orison+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
z0rg – Of Lyres & Chocolate [2011] [Album],z0rg,magnet:?xt=urn:btih:f3fec557f979c08050bff61fe3ff693623cc6fb4&dn=+z0rg+-+Of+Lyres+%26+Chocolate+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Matt Stevens – Relic [2011] [Album],Matt Stevens,magnet:?xt=urn:btih:7197495675a52ceeebc7f91dfff5392383812d0b&dn=Matt+Stevens+-+Relic+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"fnessnej – stay fresh, ey [2009] [Album]",fnessnej,magnet:?xt=urn:btih:a5d4451638e0e13f34ee455d22f51d0a3b77110b&dn=fnessnej+-+2008+-+stay+fresh%2C+ey+-+v0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Somniaferum – Lost [2011] [Single],Somniaferum,magnet:?xt=urn:btih:09233d52e5d0450e53b697cf2f0115165a950bda&dn=Somniaferum+-+Lost+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Queen Orlenes – Helicopters [2012] [EP],Queen Orlenes,magnet:?xt=urn:btih:4b1c1941f9f85c6ff686ad3972964130b9a0f0a8&dn=Queen+Orlenes+-+Helicopters+EP+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Man & Ghost – Noir Hill [2011] [EP],Man & Ghost,magnet:?xt=urn:btih:2ecba12d49a17a8f2431134e13fb4ae6bd6cf2eb&dn=Man+%26+Ghost+-+Noir+Hill+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Holmes with Anna Gottfries – Storm [2008] [EP],Holmes,magnet:?xt=urn:btih:da726260122d330879730b02e641d8bf4ba639bf&dn=Holmes+-+Storm+(2008)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aperion – Act of Hybris [2010] [Album],Aperion,magnet:?xt=urn:btih:2276840bf408347f2e74d182cef5abb9fb89c0cb&dn=Aperion+-+Act+Of+Hybris+-+2010+%5BV0%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aavepyörä – Elektro fluoro punx [2005] [Album],Aavepyörä,magnet:?xt=urn:btih:2afc5216587abd421cd58e7cc1100518b6e3039f&dn=Taika-Kim+-+Elektro+fluoro+punx+(2005)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Administration Shock Him – 39:03 [2011] [Album],Administration Shock Him,magnet:?xt=urn:btih:329ac0b990dc9859aa0967c68f6f877b03bba809&dn=Administration+Shock+Him+-+39%E2%80%8B-%E2%80%8B03+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Flesh Forest and The Elephant Only Zoo – Scream Dream [2011] [EP],Flesh Forest,magnet:?xt=urn:btih:915cf8f0fba15321aad3b23845e4ceae30a651b3&dn=Flesh+Forest+and+The+Elephant+Only+Zoo+-+Scream+Dream+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Decks – Helix Street [2012] [EP],Decks,magnet:?xt=urn:btih:f7168de624c16032538b3bed1b5eca7c65f7b676&dn=Decks+-+Helix+Street+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Oven Rake – 21 Years of Disappointment [2011] [Album],Oven Rake,magnet:?xt=urn:btih:31b436551cc28e338b56c88d315a6daa29f525d0&dn=Oven+Rake+-+21+Years+of+Disappointment+(2011)+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Big Mean Sound Machine – Ouroboros [2011] [Album],Big Mean Sound Machine,magnet:?xt=urn:btih:728cfd6205afbb84ed5b4ffc61fea2432f7a86db&dn=Big+Mean+Sound+Machine+-+Ouroboros+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Austin Basham – Little Foxes [2011] [EP],Austin Basham,magnet:?xt=urn:btih:7722aacc3a9de9f5a4209c65e6f1a62c83ccb435&dn=Austin+Basham+-+Little+Foxes+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Casey LaLonde – Beware! [2008] [Album],Casey LaLonde,magnet:?xt=urn:btih:20847a39a8392b2be21a52321a3ceda406e8aab1&dn=Casey+LaLonde+-+Beware!+(2008)+-+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Great American Desert – Homes [2011] [Album],Great American Desert,magnet:?xt=urn:btih:f80f4af8775228559b1542d127f7651ea4d0987f&dn=South+of+Lincoln+-+Homes+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Matt Stevens – Ghost [2010] [Album],Matt Stevens,magnet:?xt=urn:btih:304ad3201cfbad07a1c8f082b97829a638554851&dn=Matt+Stevens+-+Ghost+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Judd Madden – Waterfall [2010] [Album],Judd Madden,magnet:?xt=urn:btih:80f73861d6ae8844e8e8a9020c2d79f8121c2d6b&dn=Judd+Madden+-+Waterfall+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ninetails – Rawdon Fever [2012] [Single],Ninetails,magnet:?xt=urn:btih:5520e39cda2cac45a857c36078a53428caf042fe&dn=Ninetails+-+Rawdon+Fever+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Neff & Kenney – Allston Summer Rattland [2010] [Album],Neff & Kenney,magnet:?xt=urn:btih:2f0318acc8d2c3dcdfbb186de7c8bdddd70c1d64&dn=Allston+Summer+Rattland&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Customer – Soft Comedy [2010] [EP],Customer,magnet:?xt=urn:btih:c55e9d4b8adbd078e0451f447aad61a25e3c29ac&dn=Customer+-+Soft+Comedy+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sylvain the Librarian – Staff Only No Vikings [2009] [Album],Sylvain the Librarian,magnet:?xt=urn:btih:7ba1bcb7f7e6f0e9456ac8e793a60c56a7172f04&dn=Staff+Only+No+Vikings+LAME+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Our Ceasing Voice – When The Headline Hit Home [2011] [Album],Our Ceasing Voice,magnet:?xt=urn:btih:8ba110494054dba80e72dc03f6e36f2ae48b201f&dn=Our+Ceasing+Voice+-+When+The+Headline+Hit+Home+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Kamas – Free [2012] [Album],Kamas,magnet:?xt=urn:btih:9d5a306a6faa2ce3ece9b3eac583f8e901ccb890&dn=Kamas+-+Free+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Various Artists – Paradigms [2009] [Compilation],null,magnet:?xt=urn:btih:ca47cca8bb226ebaee5bb9232ba49ed996a75e31&dn=VA+Parastate+999+-+Paradigms+Mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Wet Stallions – Wet Stallions II [2011] [Album],Wet Stallions,magnet:?xt=urn:btih:2c2748ddbf61101ec046f43408a75f485aaa2bb7&dn=Wet+Stallions+-+Wet+Stallions+II+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Citizens Of The Empire – Citizens Of The Empire [2010] [Album],Citizens Of The Empire,magnet:?xt=urn:btih:725a6751634fc784eeeb2e106fdde3290523c370&dn=Citizens+Of+The+Empire+-+Citizens+Of+The+Empire+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nostalgic Story – Sorry And Goodnight [2010] [Album],Nostalgic Story,magnet:?xt=urn:btih:bc105e72ddf5025e77957024cb3ba173c917bc98&dn=Nostalgic+Story+-+Sorry+And+Goodnight+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Giraffe Incognito – The Pursuit Continues [2009] [Album],Giraffe Incognito,magnet:?xt=urn:btih:9ae5adea071556e5398c37a66223bf752fe67b09&dn=Giraffe+Incognito+-+2009+-+The+Pursuit+Continues+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Azoora and Graciellita – APART [2011] [EP],Azoora,magnet:?xt=urn:btih:abfc5532b68baac9d19fe7f75230a163e04790a9&dn=APART+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Quiet Americans – Medicine [2011] [EP],Quiet Americans,magnet:?xt=urn:btih:101a0348dc4ceae9e52c3af1cea8e97b864734d7&dn=Quiet+Americans+-+Medicine+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Fit and the Conniptions – Sweet Sister Starlight [2011] [Album],Fit and the Conniptions,magnet:?xt=urn:btih:c2f9a9f05e46f5992d5b79bc1caed39ed5f0a3a3&dn=Fit+and+the+Conniptions+-+Sweet+Sister+Starlight+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Bell Beat – The Carrot Chase [2007] [Album],The Bell Beat,magnet:?xt=urn:btih:dc21a37544ddb3e8599eba13ea7973027eb095ed&dn=The+Bell+Beat+-+The+Carrot+Chase+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Slim The Pineapple – Kevakin 7 [2016] [Album],Slim The Pineapple,magnet:?xt=urn:btih:123bd6815d2b1826a454dde202657e67432b54eb&dn=Slim+The+Pineapple+-+Kevakin+7+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Chip's Challenge – Halfbit Hero [2011] [EP],Chip's Challenge,magnet:?xt=urn:btih:549392b2157d1f78d0cfc6d95c3bd3fb50be532c&dn=Chip's+Challenge+-+Halfbit+Hero+%5B320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
EVA – Rear View [2017] [Album],EVA,magnet:?xt=urn:btih:2d9f5fb10e96e4d300f8d3b19ddbc3108b11579d&dn=EVA+-+Rear+View+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Palloc – A Mad But Perfect Plan [2010] [EP],Palloc,magnet:?xt=urn:btih:12d6d118a1a06dd5d72f6c6e3b0c2a5cdd5b31e5&dn=Palloc+-+A+mad+but+perfect+plan+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nick Perko – Brush Your Teeth With Me [2009] [EP],Nick Perko,magnet:?xt=urn:btih:ca64e03387044e9a77af825aaf220f8cc8052f2a&dn=Nick+Perko+-+2009+-+Brush+Your+Teeth+With+Me+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ethan Kennedy – Raucous [2009] [Album],Ethan Kennedy,magnet:?xt=urn:btih:44e1c2af52b770baf6f366566e5a2ed2a7162355&dn=Ethan+Kennedy+-+Raucous+%5B2009-MP3-V0(VBR)-Log%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Hail Infinity – The Gyroscope [2009] [Album],Hail Infinity,magnet:?xt=urn:btih:6617a0a632cc6aa22e1ea4d6ee66253f17d24ad9&dn=the+Gyroscope&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Chalices of the Past – 2 RUDE [2010] [Album],Chalices of the Past,magnet:?xt=urn:btih:431eaf7e239949a05f5d19625ab7d62719528690&dn=Chalices+of+the+Past+-+2+RUDE+(320)+2012&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nomia – Nomia [2008] [EP],Nomia,magnet:?xt=urn:btih:c18bacf5d32726e97f4ebb1fd7c67b73547eb370&dn=Nomia-2008-Nomia+EP+(V2)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"hélas,whale – we left our chambers [2011] [Album]","hélas,whale",magnet:?xt=urn:btih:5f150d00b623814524c9d0e5eace091c1dadcb8f&dn=h%C3%A9las%2Cwhale+-+we+left+our+chambers+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Addae Dans – Black And White Sunrise II [2011] [EP],Addae Dans,magnet:?xt=urn:btih:24b3839f14d3a84c6fcb7095d9431690efcc3a54&dn=Addae+Dans+-+Black+And+White+Sunrise+II+EP+%5Bpanda.cd+Exclusive%5D+MP3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Paul Stewart – Permanence [2011] [EP],Paul Stewart,magnet:?xt=urn:btih:7e3de67e3c1336d6dba7a5e2789cd99f0febfe07&dn=Paul+Stewart+-+Permanence+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ektoise – Kiyomizu [2011] [Album],Ektoise,magnet:?xt=urn:btih:1dd0f0c01b702bf550fef17015db3b4788a60b7c&dn=Ektoise+-+Kiyomizu+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ch4rl33 – Ghost [2011] [EP],ch4rl33,magnet:?xt=urn:btih:92dd90871745955e94ad51dacf1eb50d14cba9c2&dn=Charlee+-+Ghost+EP+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ektoise – Down River [2012] [EP],Ektoise,magnet:?xt=urn:btih:7f83f0c87d3cb2d43ce1c9626a2e95ef07143f52&dn=Ektoise+-+Down+River+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aavepyörä – Goddess Guerrilla [2006] [Album],Aavepyörä,magnet:?xt=urn:btih:d4dfcb964d1fa9cf981052c37af4310084b2289a&dn=Aavepyora+-+Goddess+Guerrilla+(2006)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Violent Sun – Self-Titled [2012] [Album],Violent Sun,magnet:?xt=urn:btih:12bb6498d8bab3e87fc27a3db01edaacadf932df&dn=Violent+Sun+-2012+-+MP3+%5B320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"Holmes – So Far, So So [2008] [Compilation]",Holmes,magnet:?xt=urn:btih:fd3aec813cf70001f3dde3c5394efe78b120d531&dn=Holmes+-+So+Far-+So+So+(2008)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Judd Madden – Drown [2011] [Album],Judd Madden,magnet:?xt=urn:btih:f4741387ee9300e814005af128d4edbd9e255338&dn=Judd+Madden+-+Drown+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Kontext – Sakura [2020] [Single],Kontext,magnet:?xt=urn:btih:f4efd10e41f9048d9ebcf7e112cfd39df5dbe6ab&dn=Kontext+-+Sakura+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
dialect – hoover [2008] [EP],dialect,magnet:?xt=urn:btih:176fbeb9ead36a30825dd7d7b9bc7349f259b2c9&dn=dialect+-+hoover&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ch4rl33 – Emulsifying Sounds [2009] [Album],ch4rl33,magnet:?xt=urn:btih:a4dad9da8529af033729a3eb1042273167335454&dn=Emulsifying+Sounds+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [spring of eternity] [2011] [EP],Sadsic,magnet:?xt=urn:btih:5aa035ec92758d3773c30df98dd2887c1b4315e4&dn=Sadsic+-+%5Bspring+of+eternity%5D+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Scrams – SCRAM1 [2009] [EP],The Scrams,magnet:?xt=urn:btih:234d4675f1c59430f023ccf442d01c6132cb97d3&dn=SCRAM1+v0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Various Artists – Conception [2011] [Compilation],null,magnet:?xt=urn:btih:1266fde54a87e20fbacf6d0b04168160d7eadb8e&dn=Free+Floating+Music+-+Conception+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Black Vortex – Submersed [2011] [EP],Black Vortex,magnet:?xt=urn:btih:48a73f55e90f4a1d071711e1fa5dda6a0b7ae093&dn=Black+Vortex+-+Submersed+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Subsist – Purist [2011] [EP],Subsist,magnet:?xt=urn:btih:9bdbee8496013a5347b8a365af0ad42fb4716534&dn=Subsist+-+Purist+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Monocure – In Love With Myself [2012] [Single],Monocure,magnet:?xt=urn:btih:92feb216832119442cf3917f062bf31390b73fe3&dn=Monocure+-+In+Love+With+Myself+(2012)+MP3+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Casey LaLonde – Hope Against Hope [2009] [Album],Casey LaLonde,magnet:?xt=urn:btih:9c351d272684623bcacc83a4ee33a4f06add8c2a&dn=Casey+LaLonde+-+Hope+against+Hope+(2009)+-+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Young Heel – LYD [2011] [Single],Young Heel,magnet:?xt=urn:btih:5f0478257b69f4b1e949a20abf452cb2108bbe02&dn=Young+Heel+-+LYD+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Flashbulb – Opus at the End of Everything [2012] [Album],The Flashbulb,magnet:?xt=urn:btih:83c10050c94472c9ef4056f4894ebe48e3593493&dn=The+Flashbulb+-+Opus+At+The+End+Of+Everything+%5B320%5D+%7B2012%7D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Panda Dub – Shapes and Shadows [2017] [Album],Panda Dub,magnet:?xt=urn:btih:aad770275ec909e8e4e681db03028fb8d825a0f1&dn=Panda+Dub+-+Shapes+%26+Shadows+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Glorie – Glorie [2011] [Album],Glorie,magnet:?xt=urn:btih:6fba054ebe8cbbb3cd99959bac056bde47263f15&dn=Glorie+-+Glorie+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Prektel – descent [2011] [Single],Prektel,magnet:?xt=urn:btih:a669aa52508f4410cf78c4bdef74700f85126c6d&dn=prektel+-+descent+(320K).mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Bell Beat – Our Manderley [2011] [Album],The Bell Beat,magnet:?xt=urn:btih:306db151d42bc573f5c12c45f9577f2e21a4b888&dn=The+Bell+Beat+-+Our+Manderley+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Yohuna – Revery [2011] [EP],Yohuna,magnet:?xt=urn:btih:d2aef955a808817cebb635b54494d8bfdff7abc7&dn=Yohuna+-+Revery+%5BV0%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Starpilot – Reveal [2011] [Album],Starpilot,magnet:?xt=urn:btih:7e83dff7c08ca50c5308dd7f0266203f4f50ba8a&dn=Starpilot+-+Reveal+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aavepyörä – Aarnimaa [2003] [Album],Aavepyörä,magnet:?xt=urn:btih:f87cd8d74984f0b1643c05fef96f7fd25617b500&dn=Aavepyora+-+Aarnimaa+(2003)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Homestretch – Comatose [2010] [EP],Homestretch,magnet:?xt=urn:btih:f141bdbfc830a32728353fb12c4b16246c02f235&dn=Homestretch+-+Comatose+EP+(MP3)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [souls of winter] [2011] [EP],Sadsic,magnet:?xt=urn:btih:dfdbb746d427ebc9da271532a631c29731399745&dn=Sadsic+-+%5Bsouls+of+winter%5D+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Various Artists – Bizarroworld [2007] [Album],null,magnet:?xt=urn:btih:51fd825048af7680ed5f253048c0cb17e4974ec8&dn=Aavepyora+-+Bizarroworld+(2007)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nothing – Poshlost [2010] [Album],Nothing,magnet:?xt=urn:btih:7bd61d37cbab373b2ae89416716148f03ab5e411&dn=Nothing+-+Poshlost&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
DEERPEOPLE – EXPLORGASM [2012] [EP],DEERPEOPLE,magnet:?xt=urn:btih:a1e2ac5db7b127705de07d8a6a335e90c9153634&dn=DEERPEOPLE+-+EXPLORGASM+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Conveyor – Sun Ray [2011] [EP],Conveyor,magnet:?xt=urn:btih:759dfeebdad07120ffd5a221037b577363153ec2&dn=Conveyor+-+Sun+Ray+EP+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Kikyo Maaka (真紅ききょ) with SeeU – Itami (いたみ) [2012] [Single],Kikyo Maaka (真紅ききょ),magnet:?xt=urn:btih:6c0f2d194429dd20ffe3aeb46ce38de762dd0647&dn=%5B2012.06.12%5D+Itami+%5B320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Saint Bernard – The Spirit of the Stairs [2011] [Album],Saint Bernard,magnet:?xt=urn:btih:f7ab332565af83f909332e47d6e1161252dd5810&dn=Saint+Bernard+-+The+Spirit+of+the+Stairs+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Adore – Emotion [2009] [EP],Adore,magnet:?xt=urn:btih:1d50ad85f4cbaa0a706f581245198e1ce86384d9&dn=Adore+-+%5B2009%5D+Emotion+(EP)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Luke Seymoup – MulderScully [2019] [Single],Luke Seymoup,magnet:?xt=urn:btih:ca7d0b38727bbbe9f6e75a743782d56f060058db&dn=Luke+Seymoup+-+MulderScully+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
